"product_id","sku","url","title","color","sale_price/amount","sale_price/amount_with_symbol","retail_price/amount","retail_price/amount_with_symbol","discount_percentage","category_name","category_id","description","reviews_count","average_rating"
"14930033","sm2304063749445542","https://us.shein.com/Manfinity-LEGND-Men-Tie-Dye-Letter-Graphic-Tee-p-14930033-cat-1980.html","Manfinity LEGND Men Tie Dye Letter Graphic Tee","White","6.79","$6.79","9.99","$9.99","32","Men T-Shirts","1980","Color: White
Style: Casual
Pattern Type: Letter
Pattern Type: Tie Dye
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","5"
"19998080","sm2306308519899393","https://us.shein.com/Manfinity-Homme-Men-Half-Zip-Polo-Shirts-p-19998080-cat-1981.html","Manfinity Homme Men Half Zip Polo Shirts","Khaki","12.49","$12.49","14.49","$14.49","14","Men Polo Shirts","1981","Color: Khaki
Style: Casual
Pattern Type: Colorblock
Neckline: Collar
Details: Contrast Collar
Details: Zipper
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","4.94"
"15885045","sm2304039891994415","https://us.shein.com/Manfinity-Homme-Men-Letter-Patched-Detail-Contrast-Trim-Drawstring-Waist-Shorts-p-15885045-cat-1976.html","Manfinity Homme Men Letter Patched Detail Contrast Trim Drawstring Waist Shorts","White","12.19","$12.19","14.09","$14.09","13","Men Shorts","1976","Color: White
Style: Casual
Pattern Type: Letter
Details: Drawstring
Details: Patched
Details: Pocket
Details: Contrast Binding
Type: Straight Leg
Closure Type: Drawstring Waist
Waist Line: Natural
Length: Short
Fit Type: Loose
Fabric: Medium Stretch
Material: Knitted Fabric
Composition: 98% Polyester
Composition: 2% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
Lining: 100% Polyester
","100","4.9"
"30883724","sm2403020322514216","https://us.shein.com/Hanes-Authentic-T-Shirt-Denim-Blue--p-30883724-cat-1980.html","Hanes Authentic T-Shirt (Denim Blue)","Dusty Blue","18.29","$18.29","30","$30.00","39","Men T-Shirts","1980","Color: Dusty Blue
Length: Regular
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","0","0"
"18212963","sm2306053555582512","https://us.shein.com/Manfinity-Men-Plus-Gradient-Color-Short-Sleeve-Shirt-And-Shorts-Set-p-18212963-cat-9039.html","Manfinity Men Plus Gradient Color Short Sleeve Shirt And Shorts Set","Pink","20.99","$20.99","24.49","$24.49","14","Men Plus Size Shirt Co-ords","9039","Color: Pink
Style: Casual
Pattern Type: Plain
Neckline: Collar
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Pocket
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Length: Regular
Fabric: Non-Stretch
Care Instructions: Machine wash, do not dry clean
Sheer: No
","59","4.88"
"12699425","sm2212014510018515","https://us.shein.com/Manfinity-Homme-Men-Color-Block-Letter-Patched-Detail-Contrast-Raglan-Sleeve-Tee-p-12699425-cat-1980.html","Manfinity Homme Men Color Block Letter Patched Detail Contrast Raglan Sleeve Tee","Beige","6.36","$6.36","9.49","$9.49","33","Men T-Shirts","1980","Color: Beige
Style: Casual
Pattern Type: Colorblock
Neckline: Round Neck
Details: Patched
Sleeve Type: Raglan Sleeve
Sleeve Length: Short Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","4.94"
"14303317","st2303141101166116","https://us.shein.com/Manfinity-Men-Coconut-Tree-Print-Drawstring-Waist-Swim-Trunks-p-14303317-cat-2025.html","Manfinity Men Coconut Tree Print Drawstring Waist Swim Trunks","Mint Blue","8.32","$8.32","11.09","$11.09","25","Men Beach Shorts","2025","Color: Mint Blue
Pattern Type: Tropical
Details: Drawstring
Details: Pocket
Type: Bottoms
Bottom Type: Shorts
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean
Body: Yes
","100","4.95"
"17644781","sm2305297700926069","https://us.shein.com/Manfinity-Men-Letter-Patched-Detail-Drawstring-Waist-Swim-Trunks-p-17644781-cat-2025.html","Manfinity Men Letter Patched Detail Drawstring Waist Swim Trunks","Khaki","9.32","$9.32","12.59","$12.59","26","Men Beach Shorts","2025","Color: Khaki
Pattern Type: Letter
Details: Patched
Details: Drawstring
Type: Bottoms
Bottom Type: Shorts
Fabric: Non-Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash, do not dry clean,wash with the soft detergent
Body: Lined
Lining: 100% Polyester
","1000","4.94"
"22384300","sm2308222280657758","https://us.shein.com/Manfinity-Men-Plus-3pcs-Solid-Tank-Top-p-22384300-cat-6313.html","Manfinity Men Plus 3pcs Solid Tank Top","Multicolor","10.45","$10.45","19.39","$19.39","46","Men Plus Size Tank Tops","6313","Color: Multicolor
Style: Casual
Pattern Type: Plain
Neckline: Round Neck
Sleeve Length: Sleeveless
Length: Regular
Fit Type: Slim Fit
Number of Pieces: 3 Piece Set
Fabric: Slight Stretch
Material: Fabric
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","41","4.8"
"30883606","sm2403025315692133","https://us.shein.com/Gildan-Mens-Heavy-Cotton-Short-Sleeve-T-Shirt-Antique-Sapphire--p-30883606-cat-1980.html","Gildan Mens Heavy Cotton Short Sleeve T-Shirt (Antique Sapphire)","Royal Blue","14.25","$14.25","23","$23.00","38","Men T-Shirts","1980","Color: Royal Blue
Length: Regular
Material: Cotton
Composition: 100% Polyester
Care Instructions: Machine wash or professional dry clean
Sheer: No
","0","0"
"13064791","sm2301060358823350","https://us.shein.com/Manfinity-Homme-Men-Bird-Print-Colorblock-Tee-p-13064791-cat-1980.html","Manfinity Homme Men Bird Print Colorblock Tee","Multicolor","4.03","$4.03","8.49","$8.49","53","Men T-Shirts","1980","Color: Multicolor
Style: Casual
Pattern Type: Colorblock
Neckline: Round Neck
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Length: Regular
Fit Type: Regular Fit
Fabric: Slight Stretch
Material: Knitted Fabric
Composition: 95% Polyester
Composition: 5% Elastane
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","5"
"22267010","sm2308165930881941","https://us.shein.com/Manfinity-Homme-Men-Solid-Shirt-Drawstring-Waist-Shorts-p-22267010-cat-9037.html","Manfinity Homme Men Solid Shirt & Drawstring Waist Shorts","White","12.28","$12.28","17.79","$17.79","31","Men Shirt Co-ords","9037","Color: White
Style: Casual
Pattern Type: Striped
Neckline: Collar
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Pocket
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Non-Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
Pockets: Yes
","1000","4.92"
"10592641","sm2112156721193634","https://us.shein.com/Manfinity-RSRT-Men-Tropical-Print-Shirt-Drawstring-Waist-Shorts-Set-p-10592641-cat-9037.html","Manfinity RSRT Men Tropical Print Shirt & Drawstring Waist Shorts Set","Khaki","12.27","$12.27","20.49","$20.49","40","Men Shirt Co-ords","9037","Color: Khaki
Style: Boho
Pattern Type: Tropical
Neckline: Collar
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Details: Drawstring
Details: Pocket
Details: Button Front
Bottom Type: Shorts
Fit Type: Regular Fit
Number of Pieces: 2 Piece Set
Fabric: Non-Stretch
Care Instructions: Machine wash or professional dry clean
Sheer: No
","1000","4.92"
